code,pop
FRA,218
BEL,44
CHE,24
GER,4
IND,1773
ITA,124
NLD,158
NOR,39
SWE,35
ARG,88
AUS,288
BOL,4
BRA,147
CHL,21
COL,34
CRI,5
DEU,382
ECU,17
ESP,207
HND,1
MEX,98
PER,59
URY,11
USA,641
VEN,5
AFG,1
ARE,14
ATG,2
AUT,29
BEN,8
BFA,6
BGD,44
BGR,10
BHR,2
BIH,5
BWA,9
CAN,112
CHN,52
CIV,44
CMR,17
COD,11
CUB,1
CYP,2
CZE,35
DNK,14
DOM,1
DZA,25
EGY,97
EST,36
ETH,31
FIN,6
GBR,235
GEO,4
GHA,41
GIN,2
GRC,71
HRV,6
HUN,28
IDN,154
IRL,19
IRN,70
IRQ,16
ISR,29
JOR,6
JPN,55
KAZ,5
KEN,164
KOR,36
LBN,10
LKA,34
LTU,1
LVA,54
MAR,34
MDG,3
MKD,2
MLI,50
MUS,8
MWI,5
MYS,33
NER,9
NGA,212
NPL,26
NZL,11
OMN,5
PAK,70
PHL,44
POL,71
PRT,22
PRY,4
PSE,3
QAT,3
ROU,34
RUS,33
SAU,21
SDN,19
SGP,33
SRB,16
SVK,1
SVN,6
SYR,4
THA,43
TJK,3
TTO,5
TUN,58
TUR,143
TWN,24
TZA,11
UGA,8
UKR,6
UZB,4
VNM,25
ZAF,103
ZMB,18
ZWE,53
HKG,3
MLT,1
NAM,1
PAN,2
SWZ,2
ALB,1
BDI,1
FJI,1
GAB,1
ISL,1
KWT,1
MDA,1
PNG,1
PRI,1
SYC,1
BLR,2
CAF,2
MDV,2
RWA,2
BRN,3
GMB,3
GLP,3
LUX,3
SLE,3
ARM,4
MOZ,4
LBY,5
SEN,6
